iter	Passed	Remaining
568	29289	1595
569	29331	1543
570	29372	1491
571	29420	1440
572	29460	1388
573	29504	1336
574	29547	1284
575	29593	1233
576	29635	1181
577	29678	1129
578	29732	1078
579	29779	1026
580	29833	975
581	29879	924
582	29924	872
583	29977	821
584	30017	769
585	30059	718
586	30107	666
587	30156	615
588	30203	564
589	30246	512
590	30290	461
591	30340	410
592	30385	358
593	30435	307
594	30480	256
595	30524	204
596	30565	153
597	30612	102
598	30654	51
599	30697	0
